count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28,weight,xRp,diff
2-2,011,0,542,-0.018,1.5461254612546125,1.5638585026282141,0.6843434343434344,1.5517230121932493,0.005597550938636786
2-2,011,1,960,-0.044,0.9041666666666667,0.9482677902621723,0.7933884297520661,0.9132784690624323,0.00911180239576559
2-2,011,2,1264,-0.108,0.317246835443038,0.42511068943706515,0.8348745046235139,0.3350579077670187,0.017811072323980714
2-2,100,0,87,0.147,1.4942528735632183,1.3476044852191642,0.258160237388724,1.3854632679667391,-0.10878960559647921
2-2,100,1,339,-0,0.8967551622418879,0.8972312297331005,0.5755517826825127,0.8969572282398559,2.0206599796801505e-4
2-2,100,2,658,-0.076,0.24164133738601823,0.31787709497206706,0.724669603524229,0.2626313587478158,0.020990021361797562
2-2,101,0,169,0.023,1.8284023668639053,1.8052609249045397,0.4033412887828162,1.814594823928723,-0.013807542935182271
2-2,101,1,351,-0.088,1.0683760683760684,1.1564871016691958,0.5840266222961731,1.105027912507985,0.03665184413191658
2-2,101,2,497,-0.064,0.36217303822937624,0.42596026490066224,0.6653279785809906,0.3835208383201681,0.021347800090791846
2-2,110,0,131,-0.192,1.7709923664122138,1.9629408248655111,0.3438320209973753,1.8969427984681833,0.12595043205596945
2-2,110,1,349,-0.249,1.0773638968481376,1.3261243548783486,0.5826377295492488,1.1811871264099953,0.10382322956185774
2-2,110,2,509,-0.093,0.4361493123772102,0.5294473578055667,0.6706192358366272,0.46687989387535134,0.03073058149814112
2-2,111,0,129,-0.447,1.9069767441860466,2.3540916109109626,0.3403693931398417,2.201907395060002,0.2949306508739553
2-2,111,1,307,-0.003,1.5342019543973942,1.5369205683671092,0.5511669658886894,1.5354221581539989,0.0012202037566046986
2-2,111,2,471,-0.016,0.7558386411889597,0.7720456979650125,0.6532593619972261,0.7614582863956354,0.005619645206675683
3-0,000,0,1196,0.27,0.7600334448160535,0.48962984633387735,0.8271092669432918,0.7132831684532983,-0.046750276362755194
3-0,000,1,876,0.189,0.4486301369863014,0.26008141392281137,0.7779751332149201,0.4067676318656331,-0.0418625051206683
3-0,000,2,777,0.089,0.1891891891891892,0.09997459672297726,0.7565725413826679,0.16747190767355824,-0.02171728151563096
3-0,001,0,270,0.434,1.3148148148148149,0.8808789650894914,0.5192307692307693,1.1061918101391786,-0.20862300467563633
3-0,001,1,380,0.223,0.7342105263157894,0.5108631496107254,0.6031746031746031,0.645580614924891,-0.08862991139089837
3-0,001,2,348,0.224,0.4339080459770115,0.20985695922107048,0.5819397993311036,0.34024120368773847,-0.09366684228927302
3-0,010,0,157,0.239,1.3821656050955413,1.1427499732075876,0.3857493857493858,1.2351044061471668,-0.14706119894837455
3-0,010,1,230,0.266,0.9173913043478261,0.6513549471325537,0.4791666666666667,0.7788307016315383,-0.13856060271628778
3-0,010,2,364,0.088,0.3901098901098901,0.30252851810965675,0.5928338762214984,0.3544497223573521,-0.035660167752538
3-0,011,0,74,0.801,2.364864864864865,1.5638585026282141,0.22839506172839505,1.7468044001760912,-0.6180604646887737
3-0,011,1,118,0.636,1.5847457627118644,0.9482677902621723,0.32065217391304346,1.1523558357759323,-0.43238992693593215
3-0,011,2,178,0.3,0.7247191011235955,0.42511068943706515,0.4158878504672897,0.5497141877552951,-0.17500491336830037
3-0,100,0,23,-0.087,1.2608695652173914,1.3476044852191642,0.08424908424908426,1.3402971476365972,0.07942758241920589
3-0,100,1,62,0.071,0.967741935483871,0.8972312297331005,0.1987179487179487,0.9112429725425485,-0.056498962941322506
