count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28
2-0,010,0,378,0.078,1.2195767195767195,1.1419541461324192
2-0,010,1,552,0.131,0.782608695652174,0.6511269774604508
2-0,010,2,833,0.075,0.37695078031212487,0.30235492010092513
2-0,011,0,238,0.368,1.9327731092436975,1.5644084647067178
2-0,011,1,418,0.339,1.2870813397129186,0.9484978540772532
2-0,011,2,542,0.121,0.5461254612546126,0.4250189825360668
2-0,100,0,46,-0.087,1.2608695652173914,1.3476044852191642
2-0,100,1,155,0.09,0.9870967741935484,0.8973080757726819
2-0,100,2,322,0.083,0.40062111801242234,0.3179214974158402
2-0,101,0,89,0.171,1.9775280898876404,1.8062738448495126
2-0,101,1,161,0.321,1.4782608695652173,1.1569259962049336
2-0,101,2,248,0.009,0.43548387096774194,0.42601669095244404
2-0,110,0,76,0.024,1.986842105263158,1.9629408248655111
2-0,110,1,196,0.066,1.3928571428571428,1.3271073973949374
2-0,110,2,228,0.016,0.543859649122807,0.5283437563042163
2-0,111,0,64,0.349,2.703125,2.3546062789500772
2-0,111,1,142,0.154,1.6901408450704225,1.5363128491620113
2-0,111,2,212,0.351,1.1226415094339623,0.7720614505180422
2-1,000,0,6641,0.039,0.5289865984038549,0.489599211664896
2-1,000,1,5085,0.051,0.31091445427728615,0.2598318080633193
2-1,000,2,4123,0.024,0.12345379577977202,0.09991362666395691
2-1,001,0,1395,0.105,0.9863799283154122,0.8809287486706842
2-1,001,1,1730,0.084,0.5947976878612716,0.5105521989602361
2-1,001,2,1757,0.041,0.2504268639726807,0.20980799737432307
2-1,010,0,534,0.145,1.2865168539325842,1.1419541461324192
2-1,010,1,834,0.028,0.6786570743405276,0.6511269774604508
2-1,010,2,1099,0.014,0.3166515013648772,0.30235492010092513
2-1,011,0,325,-0.014,1.5507692307692307,1.5644084647067178
2-1,011,1,592,0.046,0.9949324324324325,0.9484978540772532
2-1,011,2,831,0.012,0.4368231046931408,0.4250189825360668
2-1,100,0,48,0.319,1.6666666666666667,1.3476044852191642
2-1,100,1,229,0.033,0.9301310043668122,0.8973080757726819
2-1,100,2,426,0.018,0.33568075117370894,0.3179214974158402
2-1,101,0,100,0.124,1.93,1.8062738448495126
2-1,101,1,231,0.029,1.1861471861471862,1.1569259962049336
2-1,101,2,405,0.016,0.4419753086419753,0.42601669095244404
2-1,110,0,85,-0.01,1.9529411764705882,1.9629408248655111
2-1,110,1,208,-0.048,1.2788461538461537,1.3271073973949374
2-1,110,2,309,0.032,0.5598705501618123,0.5283437563042163
2-1,111,0,90,0.123,2.477777777777778,2.3546062789500772
2-1,111,1,220,0.096,1.6318181818181818,1.5363128491620113
2-1,111,2,308,0.173,0.9448051948051948,0.7720614505180422
2-2,000,0,11458,-0.037,0.4526095304590679,0.489599211664896
2-2,000,1,8556,-0.024,0.23597475455820477,0.2598318080633193
2-2,000,2,6953,-0.011,0.08845102833309362,0.09991362666395691
2-2,001,0,2003,-0.05,0.8312531203195207,0.8809287486706842
2-2,001,1,2595,-0.071,0.4396917148362235,0.5105521989602361
2-2,001,2,2668,-0.051,0.15892053973013492,0.20980799737432307
2-2,010,0,843,-0.078,1.0640569395017794,1.1419541461324192
2-2,010,1,1291,-0.019,0.6320681642137878,0.6511269774604508
2-2,010,2,1816,-0.045,0.2577092511013216,0.30235492010092513
2-2,011,0,542,-0.018,1.5461254612546125,1.5644084647067178
2-2,011,1,960,-0.044,0.9041666666666667,0.9484978540772532
2-2,011,2,1264,-0.108,0.317246835443038,0.4250189825360668
2-2,100,0,87,0.147,1.4942528735632183,1.3476044852191642
2-2,100,1,340,-0,0.8970588235294118,0.8973080757726819
2-2,100,2,658,-0.076,0.24164133738601823,0.3179214974158402
2-2,101,0,169,0.022,1.8284023668639053,1.8062738448495126
2-2,101,1,351,-0.089,1.0683760683760684,1.1569259962049336
2-2,101,2,498,-0.065,0.3614457831325301,0.42601669095244404
2-2,110,0,131,-0.192,1.7709923664122138,1.9629408248655111
2-2,110,1,349,-0.25,1.0773638968481376,1.3271073973949374
2-2,110,2,508,-0.095,0.4330708661417323,0.5283437563042163
2-2,111,0,129,-0.448,1.9069767441860466,2.3546062789500772
2-2,111,1,307,-0.002,1.5342019543973942,1.5363128491620113
2-2,111,2,471,-0.016,0.7558386411889597,0.7720614505180422
3-0,000,0,1196,0.27,0.7591973244147158,0.489599211664896
3-0,000,1,878,0.188,0.44760820045558086,0.2598318080633193
3-0,000,2,776,0.09,0.18943298969072164,0.09991362666395691
3-0,001,0,270,0.434,1.3148148148148149,0.8809287486706842
3-0,001,1,380,0.221,0.7315789473684211,0.5105521989602361
3-0,001,2,348,0.224,0.4339080459770115,0.20980799737432307
3-0,010,0,159,0.229,1.371069182389937,1.1419541461324192
